feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile,group,is_candidate,group_score,combined_score
ret_2d,-0.013575513380688343,0.013575513380688343,0.5375,0.0001583810124670281,-0.0011504435891151461,0.55,-0.05425646738530562,0.0022294589178356713,-1,80,0.007296838442119984,0.007296838442119984,0.0001583810124670281,0.7099419078370264,short_history,short_returns,True,0.4375,0.6554535262696212
ret_3d_zscore,-0.014233436380167792,0.014233436380167792,0.5125,-9.517738851709499e-05,-0.0008257754486297751,0.4875,-0.03750609597631512,0.002404809619238477,-1,80,0.007294636144835992,0.007294636144835992,-9.517738851709499e-05,0.7085096527574722,short_history,short_returns,True,0.4375,0.6543077222059779
ret_3d_rank,-0.014233436380167792,0.014233436380167792,0.5125,-9.517738851709499e-05,-0.0008257754486297751,0.4875,-0.03750609597631512,0.002404809619238477,-1,80,0.007294636144835992,0.007294636144835992,-9.517738851709499e-05,0.7085096527574722,short_history,short_returns,True,0.4375,0.6543077222059779
ret_3d,-0.014233436380167792,0.014233436380167792,0.5125,-9.517738851709499e-05,-0.0008257754486297751,0.4875,-0.03750609597631512,0.002404809619238477,-1,80,0.007294636144835992,0.007294636144835992,-9.517738851709499e-05,0.7085096527574722,short_history,short_returns,True,0.4375,0.6543077222059779
ret_20d_rank,-0.008155125087014178,0.008155125087014178,0.45,-0.002320947497180428,-0.005329709632332745,0.45,-0.04846135630735692,0.003356713426853707,-1,80,0.00366980628915638,0.00366980628915638,-0.002320947497180428,0.6539246910190488,short_history,cross_sectional,True,0.625,0.6481397528152391
ret_20d_zscore,-0.008155125087014178,0.008155125087014178,0.45,-0.002320947497180428,-0.005329709632332745,0.45,-0.04846135630735692,0.003356713426853707,-1,80,0.00366980628915638,0.00366980628915638,-0.002320947497180428,0.6539246910190488,short_history,cross_sectional,True,0.625,0.6481397528152391
vol_5d,0.004166188054811696,0.004166188054811696,0.5375,0.0035455746177414397,0.011031151275878554,0.5625,-0.042793434095387536,0.002905811623246493,1,80,0.0022393260794612868,0.0022393260794612868,0.0035455746177414397,0.6965628944722184,short_history,short_returns,True,0.4375,0.6447503155777747
idiosyncratic_vol_60d,-0.00504713337614931,0.00504713337614931,0.4875,-0.0062209604426069955,-0.012179425283493233,0.4,-0.05832852327870142,0.015405811623246493,-1,80,0.0024604775208727885,0.0024604775208727885,-0.0062209604426069955,0.6123969692053146,short_history,csi500_relative,True,0.75,0.6399175753642518
overnight_gap,-0.0023362886162778566,0.0023362886162778566,0.4375,0.0012725628746310378,4.3485557008824184e-05,0.525,-0.04076977657433594,0.002004008016032064,-1,80,0.0010221262696215622,0.0010221262696215622,0.0012725628746310378,0.6853090522682375,short_history,short_volume_price,True,0.4375,0.63574724181459
vol_20d_zscore,-0.007797888825059723,0.007797888825059723,0.55,-0.005762709720932279,-0.00812271379109577,0.45,-0.06117232573537994,0.0056112224448897794,-1,80,0.004288838853782848,0.004288838853782848,-0.005762709720932279,0.6328155242870082,short_history,cross_sectional,True,0.625,0.6312524194296065
