feature,model_count,candidate_count,general_count,short_count,avg_rank,min_rank
star50_ret_5d,3,3,0,3,106.0,105
csi300_ret_5d,3,3,0,3,108.33333333333333,107
csi300_ret_3d,3,3,0,3,108.66666666666667,108
chinext_ret_60d,3,3,0,3,117.0,113
csi1000_vol_20d,3,3,0,3,117.0,114
csi1000_ret_60d,3,3,0,3,117.33333333333333,115
csi1000_ret_20d,3,3,0,3,117.66666666666667,116
csi1000_ret_1d,3,3,0,3,118.0,117
csi1000_ret_5d,3,3,0,3,118.33333333333333,117
csi1000_ret_3d,3,3,0,3,119.0,112
net_profit_growth_yoy_rank,2,2,1,1,73.0,30
net_profit_growth_yoy_zscore,2,2,1,1,74.0,31
cash_flow_quality,2,2,1,1,80.5,37
cash_flow_quality_rank,2,2,1,1,80.5,39
cash_flow_quality_zscore,2,2,1,1,80.5,40
operating_cash_flow_to_net_profit,2,2,1,1,80.5,38
log_total_market_cap,2,2,2,0,98.5,65
total_market_cap,2,2,2,0,98.5,64
total_market_cap_rank,2,2,2,0,99.0,67
total_market_cap_zscore,2,2,2,0,100.0,66
book_to_price,2,2,2,0,105.5,76
revenue_growth_yoy,2,2,2,0,111.0,68
revenue_growth_yoy_rank,2,2,2,0,111.0,69
revenue_growth_yoy_zscore,2,2,2,0,111.0,70
csi500_quality_growth_snapshot_available,2,2,0,2,112.0,111
star50_ret_1d,2,2,0,2,112.0,112
oil_gas_etf_ret_1d,2,2,0,2,116.5,115
star50_ret_20d,2,2,0,2,117.0,114
star50_vol_20d,2,2,0,2,118.5,117
float_market_cap_industry_rank,2,2,2,0,119.0,90
total_market_cap_industry_rank,2,2,2,0,122.5,89
dividend_etf_ret_5d,2,2,0,2,124.0,111
dividend_etf_vol_20d,2,2,0,2,124.0,109
csi500_ret_3d,2,2,2,0,137.5,96
csi500_ret_1d,2,2,2,0,138.5,97
semiconductor_etf_ret_20d,1,1,0,1,90.0,90
semiconductor_etf_vol_20d,1,1,0,1,91.0,91
csi500_ret_20d,1,1,1,0,95.0,95
csi500_vol_20d,1,1,1,0,98.0,98
csi500_ret_120d,1,1,1,0,99.0,99
csi500_ret_60d,1,1,1,0,100.0,100
dividend_etf_ret_60d,1,1,0,1,111.0,111
star50_ret_60d,1,1,0,1,116.0,116
securities_etf_vol_20d,1,1,0,1,119.0,119
star50_ret_3d,1,1,0,1,124.0,124
csi300_vol_20d,1,1,0,1,127.0,127
csi300_etf_ret_60d,1,1,0,1,128.0,128
csi500_etf_ret_1d,1,1,0,1,129.0,129
csi500_etf_ret_3d,1,1,0,1,130.0,130
csi500_etf_ret_5d,1,1,0,1,131.0,131
csi500_etf_ret_20d,1,1,0,1,132.0,132
csi500_etf_ret_60d,1,1,0,1,133.0,133
csi500_etf_vol_20d,1,1,0,1,134.0,134
csi300_etf_ret_20d,1,1,0,1,135.0,135
dividend_etf_ret_3d,1,1,0,1,136.0,136
gross_margin_ttm_zscore,1,1,1,0,136.0,136
gross_margin_ttm,1,1,1,0,137.0,137
dividend_etf_ret_20d,1,1,0,1,138.0,138
gross_margin_ttm_rank,1,1,1,0,138.0,138
csi300_etf_ret_5d,1,1,0,1,140.0,140
debt_to_asset,1,1,1,0,160.0,160
debt_to_asset_zscore,1,1,1,0,161.0,161
debt_to_asset_rank,1,1,1,0,162.0,162
near_boll_upper_60d,1,1,1,0,166.0,166
cash_flow_per_share,1,1,1,0,167.0,167
above_boll_upper_60d,1,1,1,0,168.0,168
roa_ttm_industry_rank,1,1,1,0,169.0,169
net_margin_ttm_industry_rank,1,1,1,0,170.0,170
roe_ttm_industry_rank,1,1,1,0,171.0,171
revenue_growth_3y_industry_rank,1,1,1,0,172.0,172
net_profit_growth_3y_industry_rank,1,1,1,0,173.0,173
csi500_market_vol_20d,1,1,1,0,174.0,174
csi500_market_ret_1d,1,1,1,0,175.0,175
csi500_market_ret_3d,1,1,1,0,176.0,176
csi500_market_ret_5d,1,1,1,0,177.0,177
csi500_ret_2d,1,1,1,0,178.0,178
