feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile
excess_ret_20d_rank,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general
ret_20d_rank,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general
ret_20d,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general
excess_ret_20d,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general
pe_ttm_industry_rank,-0.022364444417721875,0.022364444417721875,0.7,0.001028895321019171,,0.5083333333333333,-0.02457481186667342,0.0,-1,120,0.015655111092405312,0.015655111092405312,0.001028895321019171,0.5816666666666667,general
earnings_yield_ttm,0.05451944644880271,0.05451944644880271,0.6416666666666667,0.000962708358529991,0.00015008890991991772,0.55,-0.05372064254692286,0.0,1,120,0.03498331147131507,0.03498331147131507,0.000962708358529991,0.5794871794871795,general
deducted_net_profit,0.04928979112272074,0.04928979112272074,0.6083333333333333,0.0011966384270345194,0.001958498356560514,0.5416666666666666,-0.05724282197792666,0.0,1,120,0.02998462293298845,0.02998462293298845,0.0011966384270345194,0.5753846153846154,general
industry_ret_60d,-0.055068882092200996,0.055068882092200996,0.55,0.0007576642677104273,0.0034766754248888986,0.45,-0.05364405045050386,0.0001503006012024048,-1,120,0.030287885150710552,0.030287885150710552,0.0007576642677104273,0.5743439442988542,general
amount_ma_20d,-0.046253068003311346,0.046253068003311346,0.5916666666666667,0.0008055104008537372,-0.0015767274120959919,0.55,-0.048527175599038797,0.004241816967267869,-1,120,0.02736639856862588,0.02736639856862588,0.0008055104008537372,0.57374248496994,general
rsi_14,-0.04155767476972035,0.04155767476972035,0.5916666666666667,0.0005265407635256455,0.0016975071343907284,0.5416666666666666,-0.04149013489735462,0.003657314629258517,-1,120,0.024588290905417875,0.024588290905417875,0.0005265407635256455,0.571557345460151,general
