feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile,group,is_candidate,group_score,combined_score
boll_position_60d,-0.03211160287395745,0.03211160287395745,0.5416666666666666,-0.00196219498870866,-0.0035681027986648765,0.4666666666666667,-0.04952553922348726,0.008700734802939212,-1,120,0.017393784890060285,0.017393784890060285,-0.00196219498870866,0.5173991572889369,general,bollinger,True,0.9090909090909091,0.6153220952394299
boll_z_60d,-0.03211160287395745,0.03211160287395745,0.5416666666666666,-0.00196219498870866,-0.0035681027986648765,0.4666666666666667,-0.04952553922348726,0.008700734802939212,-1,120,0.017393784890060285,0.017393784890060285,-0.00196219498870866,0.5173991572889369,general,bollinger,True,0.9090909090909091,0.6153220952394299
boll_width_60d,-0.031496911198809326,0.031496911198809326,0.5583333333333333,-0.0010926865823587461,-0.0012067446744970865,0.5166666666666667,-0.061965804608510804,0.008700734802939212,-1,120,0.017585775419335207,0.017585775419335207,-0.0010926865823587461,0.5172068495966292,general,bollinger,True,0.9090909090909091,0.6151778644701992
excess_ret_20d_industry_rank,-0.022781831192948507,0.022781831192948507,0.6416666666666667,7.613925218099398e-05,,0.5583333333333333,-0.034542142012679175,0.0026720106880427524,-1,120,0.01461834168214196,0.01461834168214196,7.613925218099398e-05,0.5462071579055547,general,industry_relative,True,0.8181818181818182,0.6142008229746206
ret_20d_industry_rank,-0.022781831192948507,0.022781831192948507,0.6416666666666667,7.613925218099398e-05,,0.5583333333333333,-0.034542142012679175,0.0026720106880427524,-1,120,0.01461834168214196,0.01461834168214196,7.613925218099398e-05,0.5462071579055547,general,industry_relative,True,0.8181818181818182,0.6142008229746206
ret_10d,-0.05074267072975761,0.05074267072975761,0.625,0.0017660663198575052,0.0024011381796747206,0.575,-0.03690897110670027,0.0026720106880427524,-1,120,0.03171416920609851,0.03171416920609851,0.0017660663198575052,0.6147327989311957,general,baseline_technical,True,0.5909090909090909,0.6087768719256695
stock_ret_minus_industry_ret_20d,-0.021184829550747318,0.021184829550747318,0.5833333333333334,-0.0013751346490470397,-0.0019956230372549146,0.4083333333333333,-0.028242913091414624,0.0026720106880427524,-1,120,0.012357817237935937,0.012357817237935937,-0.0013751346490470397,0.5338353630337598,general,industry_relative,True,0.8181818181818182,0.6049219768207744
stock_ret_minus_industry_ret_60d,-0.023571622793488286,0.023571622793488286,0.5833333333333334,-0.002341673426288827,-0.002450166594924602,0.36666666666666664,-0.02254999374676684,0.002588510354041416,-1,120,0.0137501132962015,0.0137501132962015,-0.002341673426288827,0.530894995118442,general,industry_relative,True,0.8181818181818182,0.6027167008842861
ret_60d,-0.06093252458094224,0.06093252458094224,0.575,0.0019304073567226062,0.002702150854320405,0.5416666666666666,-0.044176091700906764,0.002588510354041416,-1,120,0.03503620163404179,0.03503620163404179,0.0019304073567226062,0.6012155079389548,general,baseline_technical,True,0.5909090909090909,0.5986389036814889
excess_ret_60d,-0.06093252458094224,0.06093252458094224,0.575,0.0019304073567226062,0.002702150854320405,0.5416666666666666,-0.044176091700906764,0.002588510354041416,-1,120,0.03503620163404179,0.03503620163404179,0.0019304073567226062,0.6012155079389548,general,csi500_relative,True,0.5909090909090909,0.5986389036814889
stock_ret_minus_industry_ret_5d,-0.01755562275052652,0.01755562275052652,0.5583333333333333,-0.00011770400017466861,-0.002069791739382097,0.5,-0.03318477994038122,0.002154308617234469,-1,120,0.009801889369043974,0.009801889369043974,-0.00011770400017466861,0.5249127742664816,general,industry_relative,True,0.8181818181818182,0.5982300352453158
close_over_ma20,-0.04950951647611386,0.04950951647611386,0.6166666666666667,0.0021213205552133665,0.002881826399269844,0.575,-0.043528003238837994,0.004241816967267869,-1,120,0.03053086849360355,0.03053086849360355,0.0021213205552133665,0.6002168439442989,general,baseline_technical,True,0.5909090909090909,0.5978899056854968
close_over_ma60,-0.0610384254786517,0.0610384254786517,0.6,0.0011051760628736302,0.0021375231668783762,0.48333333333333334,-0.04062696709676945,0.008700734802939212,-1,120,0.03662305528719102,0.03662305528719102,0.0011051760628736302,0.5974632598530395,general,baseline_technical,True,0.5909090909090909,0.5958247176170524
turnover_ma_20d,-0.045759629416616016,0.045759629416616016,0.6333333333333333,0.0023276070795400085,-0.001393920389186268,0.575,-0.05367930479708104,0.004241816967267869,-1,120,0.028981098630523474,0.028981098630523474,0.0023276070795400085,0.5914988952263501,general,liquidity_risk,True,0.5909090909090909,0.5913514441470353
residual_ret_20d,-0.03601239438424552,0.03601239438424552,0.6083333333333333,0.002722716150827947,0.0025017701592784385,0.625,-0.04499146398020329,0.010521042084168337,-1,120,0.02190753991708269,0.02190753991708269,0.002722716150827947,0.5848453316890191,general,csi500_relative,True,0.5909090909090909,0.586361271494037
industry_ret_5d,-0.02227675727502417,0.02227675727502417,0.5416666666666666,-0.00020652941150512902,0.004868513509361348,0.525,-0.04943410428785207,0.00023380093520374083,-1,120,0.01206657685730476,0.01206657685730476,-0.00020652941150512902,0.5079253378551977,general,industry_relative,True,0.8181818181818182,0.5854894579368528
excess_ret_20d_rank,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general,csi500_relative,True,0.5909090909090909,0.5845461026949003
excess_ret_20d,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general,csi500_relative,True,0.5909090909090909,0.5845461026949003
ret_20d_zscore,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general,cross_sectional,True,0.5909090909090909,0.5845461026949003
ret_20d,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general,baseline_technical,True,0.5909090909090909,0.5845461026949003
ret_20d_rank,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general,cross_sectional,True,0.5909090909090909,0.5845461026949003
amount_ma_20d,-0.046253068003311346,0.046253068003311346,0.5916666666666667,0.0008055104008537372,-0.0015767274120959919,0.55,-0.048527175599038797,0.004241816967267869,-1,120,0.02736639856862588,0.02736639856862588,0.0008055104008537372,0.57374248496994,general,liquidity_risk,True,0.5909090909090909,0.5780341364547277
rsi_14,-0.04155767476972035,0.04155767476972035,0.5916666666666667,0.0005265407635256455,0.0016975071343907284,0.5416666666666666,-0.04149013489735462,0.003657314629258517,-1,120,0.024588290905417875,0.024588290905417875,0.0005265407635256455,0.571557345460151,general,baseline_technical,True,0.5909090909090909,0.576395281822386
ret_5d_industry_rank,-0.013601699294744906,0.013601699294744906,0.49166666666666664,-0.0003209052636484562,,0.5,-0.03884205355532312,0.002154308617234469,-1,120,0.0066875021532495785,0.0066875021532495785,-0.0003209052636484562,0.4935666204203279,general,industry_relative,True,0.8181818181818182,0.5747204198607004
excess_ret_5d_industry_rank,-0.013601699294744906,0.013601699294744906,0.49166666666666664,-0.0003209052636484562,,0.5,-0.03884205355532312,0.002154308617234469,-1,120,0.0066875021532495785,0.0066875021532495785,-0.0003209052636484562,0.4935666204203279,general,industry_relative,True,0.8181818181818182,0.5747204198607004
low_liquidity_flag,0.03196522466526067,0.03196522466526067,0.5833333333333334,0.0008055104008537372,,0.55,-0.048527175599038797,0.0,1,120,0.018646381054735393,0.018646381054735393,0.0008055104008537372,0.556474358974359,general,liquidity_risk,True,0.5909090909090909,0.565083041958042
