candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
stable_medium_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.030878013795445743,-0.02677336652920015,-0.0041046472662455945,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,7.0
balanced_extra_wide_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.03557506885151744,0.018802385786234943,0.016772683065282498,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,4.0
balanced_medium_current,w03,2026-02-06,2026-02-09,2026-02-13,5,0.04701620869330983,0.018802385786234943,0.028213822907074887,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,2.0
economic_medium_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.0007557405044073385,0.018802385786234943,-0.018046645281827603,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,11.0
recent_compact_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.020492733114018075,0.018802385786234943,0.0016903473277831323,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,7.0
recent_compact_current,w03,2026-02-06,2026-02-09,2026-02-13,5,0.010942121083273929,0.018802385786234943,-0.007860264702961015,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,8.0
short_aggressive_compact_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.009803796124209853,0.018802385786234943,-0.00899858966202509,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,9.0
short_aggressive_medium_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.009803796124209853,0.018802385786234943,-0.00899858966202509,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,9.0
short_aggressive_wide_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.0548807052383431,0.018802385786234943,0.036078319452108154,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,1.0
stable_compact_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,0.0223684964844738,0.018802385786234943,0.0035661106982388564,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,6.0
stable_compact_current,w03,2026-02-06,2026-02-09,2026-02-13,5,0.024381828105288807,0.018802385786234943,0.005579442319053864,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,5.0
stable_extra_wide_capacity,w03,2026-02-06,2026-02-09,2026-02-13,5,-0.0034738804630202215,0.018802385786234943,-0.022276266249255165,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,12.0
