strategy,anchor,mean_3w,worst_3w,hit_3w,mean_7w,worst_7w,hit_7w,mean_13w,worst_13w,hit_13w,legacy_raw_score_3713,raw_penalty,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,mean_3w_rank,worst_3w_rank,hit_3w_rank,rank_score_3w,legacy_rank_score_3w,mean_7w_rank,worst_7w_rank,hit_7w_rank,rank_score_7w,legacy_rank_score_7w,mean_13w_rank,worst_13w_rank,hit_13w_rank,rank_score_13w,legacy_rank_score_13w,anchor_score_3713,legacy_anchor_score_3713,anchor_rank,legacy_anchor_rank
final_portfolio_a0.65_k38,2026-05-08,0.0388731246980009,0.0134590797279192,1.0,0.0228336055422765,-0.032374278022567,0.8571428571428571,0.0125649140634005,-0.0343208469429237,0.6153846153846154,0.0104423506972402,0.0015,38.0,38,38,0.65,38,final_portfolio,True,0.8909090909090909,0.4424242424242424,0.503030303030303,0.6757575757575758,0.704121212121212,0.9393939393939394,0.0363636363636363,0.5333333333333333,0.5624242424242424,0.6007878787878788,0.8363636363636363,0.0484848484848484,0.2909090909090909,0.4787878787878787,0.5218181818181817,0.5713333333333332,0.6287757575757577,32,24
final_portfolio_a0.65_k41,2026-04-30,0.0242599187801702,0.0167235814706441,1.0,0.0132023742031494,-0.0039533309998968,0.5714285714285714,0.009151833945641,-0.0129072957371288,0.5384615384615384,0.0114195963169035,0.0,41.0,41,41,0.65,41,final_portfolio,True,0.8909090909090909,0.8787878787878788,0.503030303030303,0.8284848484848484,0.848121212121212,0.9454545454545454,0.9818181818181818,0.3878787878787879,0.8745454545454546,0.9016969696969696,0.9272727272727272,0.6727272727272727,0.7,0.8040909090909091,0.8205454545454545,0.8395909090909092,0.8680939393939394,4,2
final_portfolio_a0.65_k41,2026-05-06,0.0301988303625174,0.0157496183734799,1.0,0.0133003024200727,-0.0230449067719007,0.5714285714285714,0.0110245330267205,-0.0230449067719007,0.5384615384615384,0.0094934286395623,0.0,40.92307692307692,40,41,0.65,41,final_portfolio,True,0.1333333333333333,0.2484848484848484,0.503030303030303,0.229090909090909,0.2083030303030303,0.0242424242424242,0.2,0.503030303030303,0.1575757575757575,0.1301212121212121,0.7151515151515152,0.2,0.8636363636363636,0.5571212121212121,0.56,0.2988939393939394,0.2258757575757576,157,163
final_portfolio_a0.65_k41,2026-05-07,0.0246504143610024,0.0112104901390704,1.0,0.0115096234025249,-0.0275131039553788,0.5714285714285714,0.0061555783016213,-0.0275131039553788,0.4615384615384615,0.0058573785634107,0.0,40.76923076923077,38,41,0.65,41,final_portfolio,True,0.0545454545454545,0.1333333333333333,0.503030303030303,0.1493939393939393,0.1253939393939394,0.0606060606060606,0.2151515151515151,0.4909090909090909,0.1792424242424242,0.1546363636363636,0.1878787878787878,0.2151515151515151,0.3090909090909091,0.2156060606060606,0.209,0.1811969696969697,0.1510939393939394,149,152
final_portfolio_a0.65_k41,2026-05-08,0.0385825801037786,0.0144108035597176,1.0,0.0229145500356946,-0.0297707516093493,0.8571428571428571,0.012161143241758,-0.0313726669907972,0.6153846153846154,0.0125205325128594,0.0,41.0,41,41,0.65,41,final_portfolio,True,0.8606060606060606,0.6121212121212121,0.503030303030303,0.72,0.7428484848484848,0.9454545454545454,0.2484848484848484,0.5333333333333333,0.6396969696969697,0.6742424242424242,0.7696969696969697,0.2,0.2909090909090909,0.4984848484848485,0.5338181818181817,0.6214242424242424,0.6806212121212121,13,8
final_portfolio_a0.65_k44,2026-04-30,0.0241211782214207,0.0158141770762097,1.0,0.0129170590540576,-0.0047270667218646,0.5714285714285714,0.0088644258988232,-0.0129072957371288,0.5384615384615384,0.0110552656109861,0.0,43.38461538461539,41,44,0.65,44,final_portfolio,True,0.8666666666666667,0.7606060606060606,0.503030303030303,0.7749999999999999,0.7953030303030303,0.8848484848484849,0.9454545454545454,0.3878787878787879,0.8315151515151515,0.8551515151515152,0.9030303030303032,0.6727272727272727,0.7,0.791969696969697,0.8067272727272726,0.8026969696969697,0.8239484848484848,10,10
final_portfolio_a0.65_k44,2026-05-06,0.029205724429122,0.0161807393167848,1.0,0.013651412782498,-0.0175037582765865,0.5714285714285714,0.0108287172455837,-0.0200381276940244,0.5384615384615384,0.0103689221258483,0.0,43.23076923076923,40,44,0.65,44,final_portfolio,True,0.0242424242424242,0.3303030303030303,0.503030303030303,0.2031818181818181,0.1731212121212121,0.1454545454545454,0.9212121212121211,0.503030303030303,0.4706060606060606,0.4372121212121213,0.6242424242424243,0.7303030303030303,0.8636363636363636,0.6972727272727273,0.6831818181818181,0.4583787878787878,0.3684712121212121,122,133
final_portfolio_a0.65_k44,2026-05-07,0.0259778841507469,0.0107969008581376,1.0,0.012081775861809,-0.0275131039553788,0.5714285714285714,0.0062090474505692,-0.0275131039553788,0.4615384615384615,0.0062567766084307,0.0,43.07692307692308,38,44,0.65,44,final_portfolio,True,0.1333333333333333,0.1151515151515151,0.503030303030303,0.1824242424242424,0.1643030303030303,0.1454545454545454,0.2151515151515151,0.4909090909090909,0.2216666666666666,0.203,0.2181818181818181,0.2151515151515151,0.3090909090909091,0.2307575757575757,0.2262727272727272,0.2126212121212121,0.1910121212121212,146,147
final_portfolio_a0.65_k44,2026-05-08,0.0383253899950929,0.0142164417515116,1.0,0.022277105351328,-0.0297707516093493,0.8571428571428571,0.0114940688082611,-0.0321958412282715,0.6153846153846154,0.0121749508590368,0.0,43.15384615384615,41,44,0.65,44,final_portfolio,True,0.8181818181818182,0.5727272727272728,0.503030303030303,0.685,0.7056666666666667,0.8727272727272727,0.2484848484848484,0.5333333333333333,0.6033333333333333,0.6327878787878787,0.6787878787878788,0.1303030303030303,0.2909090909090909,0.4286363636363636,0.459,0.5754242424242424,0.6358712121212121,31,21
final_portfolio_a0.65_k47,2026-04-30,0.024133400863184,0.0158141770762097,1.0,0.0126904073457416,-0.004711258773215,0.5714285714285714,0.0085582860705146,-0.0129072957371288,0.5384615384615384,0.0109760887351791,0.0,44.53846153846154,41,47,0.65,47,final_portfolio,True,0.8787878787878788,0.7606060606060606,0.503030303030303,0.781060606060606,0.8022121212121212,0.8484848484848485,0.9636363636363636,0.3878787878787879,0.8196969696969697,0.8404242424242424,0.8545454545454545,0.6727272727272727,0.7,0.7677272727272727,0.779090909090909,0.7925151515151514,0.815939393939394,12,13
final_portfolio_a0.65_k47,2026-05-06,0.0293043878278044,0.0161807393167848,1.0,0.0136367057555028,-0.0188236646763106,0.5714285714285714,0.0107771866987589,-0.0200381276940244,0.5384615384615384,0.0101872330662111,0.0,44.15384615384615,40,47,0.65,47,final_portfolio,True,0.0303030303030303,0.3303030303030303,0.503030303030303,0.2062121212121211,0.1765757575757576,0.1272727272727272,0.7515151515151515,0.503030303030303,0.4021212121212121,0.3708484848484848,0.5818181818181818,0.7303030303030303,0.8636363636363636,0.676060606060606,0.659,0.425530303030303,0.3363621212121212,131,143
final_portfolio_a0.65_k47,2026-05-07,0.0256020324356199,0.0107324542605149,1.0,0.0120184303191146,-0.0275131039553788,0.5714285714285714,0.0059198949810965,-0.0275131039553788,0.4615384615384615,0.0061216047986545,0.0,44.38461538461539,38,47,0.65,47,final_portfolio,True,0.103030303030303,0.0969696969696969,0.503030303030303,0.1609090909090909,0.141030303030303,0.1272727272727272,0.2151515151515151,0.4909090909090909,0.2125757575757575,0.1926363636363636,0.0848484848484848,0.2151515151515151,0.3090909090909091,0.1640909090909091,0.1502727272727272,0.182530303030303,0.1656393939393939,148,148
final_portfolio_a0.65_k47,2026-05-08,0.0379210169838464,0.0142164417515116,1.0,0.021726304204831,-0.0297707516093493,0.8571428571428571,0.0112938925935608,-0.0321958412282715,0.6153846153846154,0.0119243582520393,0.0,44.46153846153846,41,47,0.65,47,final_portfolio,True,0.7212121212121212,0.5727272727272728,0.503030303030303,0.6365151515151515,0.6503939393939394,0.8242424242424242,0.2484848484848484,0.5333333333333333,0.5790909090909091,0.6051515151515151,0.6060606060606061,0.1303030303030303,0.2909090909090909,0.3922727272727273,0.4175454545454545,0.5402727272727272,0.5951075757575757,45,37
