strategy,mean_score_3713,std_score_3713,worst_score_3713,robust_score,legacy_mean_score_3713,legacy_std_score_3713,legacy_worst_score_3713,legacy_robust_score,avg_legacy_raw_score_3713,avg_mean_13w,worst_13w,avg_hit_13w,avg_mean_7w,worst_7w,avg_hit_7w,avg_mean_3w,worst_3w,avg_hit_3w,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,overall_rank,legacy_overall_rank
final_portfolio_a0.35_k56,0.5602121212121212,0.0707298084832753,0.4866060606060606,0.4787164130910664,0.5731962121212121,0.0544791246793342,0.5161893939393939,0.4961769738957029,0.0106993574069502,0.0084452992428886,-0.0277888403017178,0.5384615384615385,0.0151410838675929,-0.0261587166833922,0.6785714285714285,0.0308475147046092,0.0151678078862187,1.0,45.61538461538461,38,56,0.35,56,final_portfolio,True,23,21
final_portfolio_a0.35_k41,0.5617613636363636,0.0965445565399608,0.4929090909090908,0.478717703436913,0.5959984848484847,0.1153815099163575,0.4810848484848484,0.4961320762810914,0.0107161704477563,0.0083705811414862,-0.0296067036052255,0.5384615384615385,0.0149457146592719,-0.0261587166833922,0.6785714285714285,0.0321728512529677,0.0135793507300146,1.0,40.92307692307692,38,41,0.35,41,final_portfolio,True,22,22
final_portfolio_a0.35_k53,0.561314393939394,0.0685372983778861,0.4913939393939393,0.4808491110713023,0.5759462121212121,0.0591439321985703,0.5063439393939394,0.4950366295074157,0.0107148105309178,0.0083569584089312,-0.0277888403017178,0.5384615384615385,0.0151684131237991,-0.0261587166833922,0.6785714285714285,0.030957919140305,0.0151678078862187,1.0,45.46153846153846,38,53,0.35,53,final_portfolio,True,20,23
final_portfolio_a0.35_k59,0.5591515151515152,0.0716344127881318,0.4866060606060606,0.4779365587211868,0.5721598484848485,0.0555819823446738,0.5120439393939393,0.4943566881291689,0.0106944780272358,0.0084366148650598,-0.0277888403017178,0.5384615384615385,0.0151249557373394,-0.0261587166833922,0.6785714285714285,0.0308475147046092,0.0151678078862187,1.0,45.67307692307692,38,59,0.35,59,final_portfolio,True,25,24
final_portfolio_a0.30_k50,0.5598901515151515,0.0755766972304042,0.4748484848484848,0.4750830499739292,0.5873780303030304,0.0890113686269046,0.4806621212121212,0.4930601131373096,0.0108131884085966,0.0082434620407892,-0.0270543401472922,0.5384615384615385,0.0151971330464649,-0.0259329854713944,0.6785714285714285,0.0312407599061985,0.0150600796878869,1.0,45.07692307692308,38,50,0.3,50,final_portfolio,True,27,25
final_portfolio_a0.40_k41,0.5552689393939394,0.0756304974893203,0.5009090909090909,0.4785890335844013,0.5873280303030304,0.09384719895145,0.4809575757575757,0.4926178937412186,0.0105961972906201,0.0084811636402979,-0.0306268158982568,0.5384615384615385,0.0148873632256276,-0.02638444789539,0.6785714285714285,0.0321477465683872,0.0134554340628408,1.0,40.92307692307692,38,41,0.4,41,final_portfolio,True,24,26
pure_capacity,0.5745530303030303,0.1322830138056506,0.4828939393939394,0.4809546531648895,0.6087734848484848,0.1624733979973896,0.4509030303030303,0.4921811829275337,0.0114610970878266,0.0076765961143989,-0.0245785981994078,0.5576923076923077,0.0153087855083911,-0.0245785981994078,0.6785714285714285,0.0323287066163068,0.014413710497896,1.0,33.0,33,33,0.0,33,final_portfolio,False,19,27
final_portfolio_a0.35_k50,0.555155303030303,0.0635506027225938,0.4729090909090909,0.4727231594247103,0.5768780303030303,0.0678857496472218,0.4793984848484849,0.4880317659443687,0.0107037556323707,0.0083373066081009,-0.0277888403017178,0.5384615384615385,0.0151756422195229,-0.0261587166833922,0.6785714285714285,0.0310516281170012,0.0151678078862187,1.0,45.07692307692308,38,50,0.35,50,final_portfolio,True,29,28
final_portfolio_a0.40_k53,0.5530416666666667,0.0739222404461319,0.4847575757575758,0.473274253228114,0.5640575757575758,0.0582719448429955,0.5028257575757576,0.486516669152064,0.0105943212002016,0.0084542006725291,-0.0285233404561434,0.5384615384615385,0.015147266950733,-0.02638444789539,0.6785714285714285,0.0307579755668155,0.0152210652438935,1.0,45.46153846153846,38,53,0.4,53,final_portfolio,True,28,29
final_portfolio_a0.40_k50,0.5508295454545453,0.065741777685263,0.4767575757575757,0.4706544207163221,0.5671257575757576,0.0596468398676606,0.4870530303030302,0.4844303160132339,0.0105927075834902,0.0084309677039359,-0.0285233404561434,0.5384615384615385,0.0151532888222975,-0.02638444789539,0.6785714285714285,0.0308601022461153,0.0152210652438935,1.0,45.07692307692308,38,50,0.4,50,final_portfolio,True,31,30
