candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
recent_compact_current,w03,2026-02-03,2026-02-04,2026-02-10,5,0.0048018620552965656,0.0023826128154014192,0.0024192492398951463,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,1.0
short_aggressive_compact_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.01589412791873054,0.0023826128154014192,-0.01827674073413196,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,6.0
short_aggressive_medium_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.01589412791873054,0.0023826128154014192,-0.01827674073413196,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,6.0
short_aggressive_wide_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.009439387786357075,0.0023826128154014192,-0.011822000601758495,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,4.0
stable_compact_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.004349961281475715,0.0023826128154014192,-0.006732574096877135,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,3.0
stable_compact_current,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.02260975292291168,0.0023826128154014192,-0.0249923657383131,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,10.0
stable_extra_wide_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.02597574467506502,0.0023826128154014192,-0.02835835749046644,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,11.0
stable_medium_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.013454053321940312,0.0023826128154014192,-0.01583666613734173,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,5.0
balanced_extra_wide_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.042599539933874,0.02661957070684262,0.015979969227031376,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,5.0
balanced_medium_current,w04,2026-02-10,2026-02-11,2026-02-25,5,0.0583558424952858,0.02661957070684262,0.031736271788443175,60,0.016666666666666666,0.08333333333333333,1,0.35,0.65,60,0.03,equal,False,1.0
economic_medium_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.02262386233379346,0.02661957070684262,-0.003995708373049162,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,10.0
recent_compact_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,-0.027063204603214163,0.02661957070684262,-0.05368277531005679,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,11.0
recent_compact_current,w04,2026-02-10,2026-02-11,2026-02-25,5,-0.03519489071198985,0.02661957070684262,-0.06181446141883247,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,12.0
short_aggressive_compact_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.03745867266941749,0.02661957070684262,0.01083910196257487,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,6.0
short_aggressive_medium_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.03745867266941749,0.02661957070684262,0.01083910196257487,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,6.0
short_aggressive_wide_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.03289185400424468,0.02661957070684262,0.006272283297402058,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,8.0
stable_compact_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.029518918407038117,0.02661957070684262,0.0028993477001954954,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,9.0
stable_compact_current,w04,2026-02-10,2026-02-11,2026-02-25,5,0.05635224845475747,0.02661957070684262,0.029732677747914847,35,0.02857142857142857,0.14285714285714285,1,0.55,0.44999999999999996,35,0.03,equal,False,2.0
stable_extra_wide_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.046756656957130015,0.02661957070684262,0.020137086250287393,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,4.0
stable_medium_capacity,w04,2026-02-10,2026-02-11,2026-02-25,5,0.05058126704364751,0.02661957070684262,0.023961696336804887,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,3.0
balanced_extra_wide_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.043616038682791666,-0.03267218673010641,-0.010943851952685255,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,7.0
balanced_medium_current,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.025216073040743765,-0.03267218673010641,0.007456113689362647,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,3.0
economic_medium_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.046963814093402494,-0.03267218673010641,-0.014291627363296082,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,9.0
recent_compact_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.016407094828116083,-0.03267218673010641,0.01626509190199033,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,2.0
recent_compact_current,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.03715331522529631,-0.03267218673010641,-0.004481128495189897,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,6.0
short_aggressive_compact_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.03244572621100489,-0.03267218673010641,0.00022646051910152343,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,4.0
short_aggressive_medium_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.03244572621100489,-0.03267218673010641,0.00022646051910152343,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,4.0
short_aggressive_wide_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.050926714205069674,-0.03267218673010641,-0.018254527474963263,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,12.0
stable_compact_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.050799833314271334,-0.03267218673010641,-0.018127646584164922,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,11.0
stable_compact_current,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.008948998603221254,-0.03267218673010641,0.023723188126885158,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,1.0
stable_extra_wide_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.049894447706438715,-0.03267218673010641,-0.017222260976332303,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,10.0
stable_medium_capacity,w05,2026-02-25,2026-02-26,2026-03-04,5,-0.045155782719407477,-0.03267218673010641,-0.012483595989301065,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,8.0
balanced_extra_wide_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,-4.856719503621008e-05,0.018715726677775102,-0.01876429387281131,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,8.0
balanced_medium_current,w06,2026-03-04,2026-03-05,2026-03-11,5,0.013950748157848717,0.018715726677775102,-0.0047649785199263845,60,0.016666666666666666,0.08333333333333333,1,0.35,0.65,60,0.03,equal,False,4.0
economic_medium_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,0.02059175166989403,0.018715726677775102,0.0018760249921189291,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,2.0
recent_compact_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,-0.007049211886845793,0.018715726677775102,-0.025764938564620893,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,10.0
recent_compact_current,w06,2026-03-04,2026-03-05,2026-03-11,5,0.0417708976631827,0.018715726677775102,0.023055170985407596,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,1.0
short_aggressive_compact_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,-0.014121526091102895,0.018715726677775102,-0.032837252768878,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,11.0
short_aggressive_medium_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,-0.014121526091102895,0.018715726677775102,-0.032837252768878,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,11.0
short_aggressive_wide_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,0.012473393747118417,0.018715726677775102,-0.006242332930656685,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,5.0
stable_compact_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,0.016833113411120138,0.018715726677775102,-0.0018826132666549637,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,3.0
stable_compact_current,w06,2026-03-04,2026-03-05,2026-03-11,5,0.008355904094300926,0.018715726677775102,-0.010359822583474176,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,7.0
stable_extra_wide_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,0.00896486484542623,0.018715726677775102,-0.009750861832348872,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,6.0
stable_medium_capacity,w06,2026-03-04,2026-03-05,2026-03-11,5,-0.00012497111475185546,0.018715726677775102,-0.018840697792526957,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,9.0
balanced_extra_wide_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.006325599445437631,-0.03652147422509888,0.03019587477966125,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,2.0
balanced_medium_current,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.04558382543855684,-0.03652147422509888,-0.009062351213457956,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,6.0
economic_medium_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.05110791426525447,-0.03652147422509888,-0.014586440040155586,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,8.0
recent_compact_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.00018778793933534597,-0.03652147422509888,0.036333686285763535,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,1.0
recent_compact_current,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.04545391064162707,-0.03652147422509888,-0.008932436416528189,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,5.0
short_aggressive_compact_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.06415421969777811,-0.03652147422509888,-0.02763274547267923,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,10.0
short_aggressive_medium_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.06415421969777811,-0.03652147422509888,-0.02763274547267923,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,10.0
short_aggressive_wide_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.038590413749712005,-0.03652147422509888,-0.0020689395246131226,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,4.0
stable_compact_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.06465113184510292,-0.03652147422509888,-0.028129657620004037,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,12.0
stable_compact_current,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.05001579441520754,-0.03652147422509888,-0.013494320190108655,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,7.0
stable_extra_wide_capacity,w07,2026-03-11,2026-03-12,2026-03-18,5,-0.011699097378519544,-0.03652147422509888,0.024822376846579338,30,0.06451612903225806,0.3010752688172043,1,0.525,0.475,30,0.065,rank,True,3.0
